id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
5ihsYmHFppUPo5vuKRyTKo,Theme I,21,173533,0,['Clan of Xymox'],['1wHmR7I0UlF58WFQexCPha'],1986-11-01,0.154,0.395,10,-12.124,0,0.0311,0.48,0.928,0.375,0.0379,98.875,4
4tQcvJDrUdzuv947O4tYwX,All Fall Down - 2009 Remaster,22,309240,0,['Ultravox'],['3iUjRVvYCsMfz7tuAQtBDI'],1986-01-01,0.461,0.565,4,-10.067,0,0.0309,0.263,0.0,0.263,0.59,62.078,4
4UwdCPXyFINLndNh5xDlLC,Szukając cienia,9,366000,0,['Marek Bilinski'],['2MFdUyGa1eKDvMT6wCOlhT'],1986,0.228,0.462,9,-9.707,0,0.0302,0.0639,0.451,0.114,0.039,96.279,4
38egJVTyfRjCd8CeVZvL68,Killer,10,194200,0,['KAT'],['5UQXUSiWPn8CJIhTvok8fE'],1986-04-17,0.263,0.907,0,-5.693,1,0.0824,1.6e-06,0.144,0.0291,0.326,153.774,4
5nceSxJjpP8HQt27TyrUI1,Devil's House - Part I,10,283773,0,['KAT'],['5UQXUSiWPn8CJIhTvok8fE'],1986-04-17,0.269,0.866,9,-6.058,0,0.0625,2.75e-06,0.82,0.065,0.355,74.951,4
58hva7UTAHUUOcufZwBwuB,Oracle,10,218320,0,['KAT'],['5UQXUSiWPn8CJIhTvok8fE'],1986-04-17,0.21,0.954,4,-5.491,0,0.136,2.9e-06,0.643,0.102,0.243,87.196,4
6X8ZnsbgD5xbPtFaOlEmG0,Kołysanka,22,82480,0,['Bajka Muzyczna'],['5bnxS5RyPx8i1ZM4AK54rN'],1987-05-21,0.0,0.233,7,-12.146,1,0.0,0.977,0.0,0.288,0.0,0.0,0
7bheeBMA2MdVyZtrkMh6Lp,Spytaj Milicjanta,21,97560,0,['Dezerter'],['4qvXg7WxzF9JImuoRt3yGl'],1987,0.294,0.965,1,-5.581,1,0.0731,8.18e-06,0.0253,0.0688,0.899,174.036,4
5YwH2Al9zCFWPGU7mOGHaK,Musisz być kimś,20,185067,0,['Dezerter'],['4qvXg7WxzF9JImuoRt3yGl'],1987,0.486,0.923,8,-3.742,1,0.108,0.0329,0.0,0.811,0.331,90.065,4
6CHH9YW1HwDREZHhIhPJqm,Wspaniała nowina,20,316013,0,['Kult'],['3QrpmDKMmvcSUTHH8xED93'],1987,0.72,0.828,2,-7.132,0,0.0511,0.0987,0.00912,0.0457,0.822,128.558,4
5LYG8dYYRhfaQrtccANcTw,Ku przyszłości,19,173080,0,['Dezerter'],['4qvXg7WxzF9JImuoRt3yGl'],1987,0.45,0.843,1,-5.695,1,0.162,0.000784,0.0,0.092,0.555,158.466,4
3Q8qS7rsO3TOTLrErSi9L3,"Posłuchaj, to do Ciebie",19,144507,0,['Kult'],['3QrpmDKMmvcSUTHH8xED93'],1987,0.686,0.834,6,-6.076,1,0.201,0.0832,0.0,0.0426,0.96,102.525,4
3F0XKDbBpcoSv46wtayC18,1932 - Berlin,19,183520,0,['Kult'],['3QrpmDKMmvcSUTHH8xED93'],1987,0.565,0.555,8,-7.961,1,0.0478,0.657,0.0,0.103,0.416,112.537,4
60xolshR0OKslpE8YGMJ5F,Religia wielkiego Babilonu,18,227013,0,['Kult'],['3QrpmDKMmvcSUTHH8xED93'],1987,0.725,0.317,9,-10.637,1,0.0422,0.78,0.00041,0.255,0.667,137.678,4
7tL34FfTLqSBniAnVcSfhv,Mędracy,18,304013,0,['Kult'],['3QrpmDKMmvcSUTHH8xED93'],1987,0.764,0.632,0,-9.177,0,0.0352,0.311,0.0209,0.0776,0.884,108.937,4
028DQ7NS44vnLRaoon0mwg,Polska złota młodzież,18,232640,0,['Dezerter'],['4qvXg7WxzF9JImuoRt3yGl'],1987,0.37,0.968,2,-3.217,1,0.16,0.00123,0.000327,0.0697,0.448,119.504,4
3o4jK2XTtoFVYxAxv9fiYt,Szara Rzeczywistość,17,118133,0,['Dezerter'],['4qvXg7WxzF9JImuoRt3yGl'],1987,0.425,0.912,6,-6.611,1,0.0387,6.75e-05,2.21e-05,0.363,0.708,175.575,4
