id,followers,genres,name,popularity
75LkAHutcp6ESIziVTBRaJ,37.0,[],Tom Trefethen,33
4qquqK9yAAWKyp9yqbyN39,1334.0,['pinoy traditional'],Bayanihan Philippine Dance Company,21
167dt4dzL6p1HOtIlS52ap,1151.0,"['hollywood', 'show tunes']",Siobhan McCarthy,41
6TmVnRduWRcnd5oSVqsMKV,482.0,[],Gene Cotton,20
3Hl8bE9yBdPcAL4LogPUnB,3369.0,"['classic opm', 'manila sound']",WADA-B,20
64a4OzvMmFgs0ilkA21Q2w,215.0,[],Michael Pedicin Jr.,13
01TbmnDD4d5XDUl5Kr3iQB,2040.0,['smooth jazz'],Tom Grant,27
64xcsZMmkAZYxLY9rdmRn4,355.0,['classic opm'],TIRSO CRUZ III,14
17Phfgs6fDspKYHoacZtkW,138.0,[],Verni Gonzales,13
3QckMzDoqCxIjwJJE1Prpl,140.0,[],Leslie Pearl,20
00n61L0JppsF2qUP8ZSi5R,289.0,['papuri'],Bill Aujero,16
4QDaqmPzrXWc3JJ7WMWmK1,348.0,[],Shalom Singers,16
0UXy6wqMmVQ7PIWFNSXqdk,13010.0,"['jazz funk', 'jazz fusion', 'soul jazz']",Alphonse Mouzon,35
1CDtTrMhug34Bq6GQHIfhe,88.0,['show tunes'],Stig Anderson,40
6748v9yNrbb4PPJuvfoMRa,7605.0,['australian rock'],Peter Allen,40
2fOfCLQmxx4XrtpBkHu44M,258.0,['super sentai'],Kenji Suzuki,16
56RZYoZM05z29KIlNlAAQX,14766.0,"['new romantic', 'sophisti-pop']",The Lotus Eaters,33
4GkZsIFa4lKHy9e2MuqwIs,2665.0,['yacht rock'],Paulinho Da Costa,29
5LsOwSn5kKzE3toFMkKyvh,4527.0,['deep new wave'],Wire Train,25
7ckJvU525aRrorybAq1Rcg,11944.0,"['c86', 'chamber pop', 'melancholia', 'sophisti-pop']",The Pale Fountains,26
5rYlkVq8jzCHra58kllAof,862.0,[],Michael Tomlinson,21
12OJToYzCAaLK6kmfYuliJ,2403.0,['classic praise'],Morris Chapman,27
0ow8F3xGkmZWVulTtaiFQo,38433.0,"['new romantic', 'new wave', 'new wave pop', 'synthpop']",Book Of Love,38
6kyrLT1W90fADXGTgF7dpQ,15113.0,"['christian music', 'deep christian rock']",David Meece,32
59nicPZRBcSZmm40ZHRUFV,5951.0,['classic praise'],Jeff Hamlin,27
4VNTWfJpvkjnT6Inb1GdrB,2046.0,['classic opm'],Ivy Violan,18
12sIh1TmRrY9dX59XA4D71,3499.0,['super sentai'],Takayuki Miyauchi,28
5mP0VpJsnFCuaAlwGjhKQI,5253.0,['classic praise'],LaMar Boschman,25
6iBDYFuPZ8SXiWCrRLX5AD,57.0,['manila sound'],Subas Herrero,17
0WnR1VHCkXOtxqB4FYuqOO,89.0,[],Noel Trinidad,17
1QMa7rlPfNoGfdj9twxBgs,8558.0,['classic praise'],Pete Sanchez,24
1SbKRR7aw8TnLV35xMJvo0,1751.0,['deep soft rock'],Randy Goodrum,29
5VXoEqLAQabJixLonXrf5M,4279.0,[],The Letterman,24
1lWMx06l9rfKKwuxwlwZvJ,788.0,[],Simon Bowman,31
1ZllxyGx0kJ3GZd2YbVUXM,5493.0,['classic praise'],Charlie LeBlanc,28
1m3xxj0iHUjur3yQjVvAD2,8320.0,"['neo-synthpop', 'synthpop']",Red Flag,30
07oR3xogzd6SgvVoccS48z,319.0,['classic opm'],Chona Cruz,21
34ugek7kTxRhRSsT1d9Yer,6742.0,"['diva house', 'hip house']",Lonnie Gordon,34
7f1Gs8FC4JANgZu4sBn1kB,2247.0,[],Inner Voices,29
63yEaRONzlJVu1ozymo4Fk,9071.0,"['c86', 'deep new wave', 'new wave']",The Wild Swans,28
5jJcbGPjjyEhAoU02ynHaA,54462.0,"['glam metal', 'hard rock']",Nelson,42
3bIjKdVVoGI47DgreG3sJC,10.0,[],S-SENSE,24
